query,name,address,url,restaurant_url,cusines,number_of_reviews,food,service,price,decor,excellent,very_good,average,poor,terrible
Odette,Odette's Restaurant,"130 Regents Park Road Primrose Hill, London NW1 8XL England",https://www.tripadvisor.com/Restaurant_Review-g186338-d720189-Reviews-Odette_s_Restaurant-London_England.html#REVIEWS,http://www.odettesprimrosehill.com/location/,"European, British, Welsh",629,45,45,40,40,405,93,54,26,13
noma,Noma,"Refshalevej 96, Copenhagen 1432 Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d694971-Reviews-Noma-Copenhagen_Zealand.html#REVIEWS,http://www.noma.dk/,"Contemporary, Healthy",1778,45,50,40,45,936,159,60,35,33
Maaemo,Koka,"Viktoriagatan 12, Gothenburg 411 25 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189894-d815919-Reviews-Koka-Gothenburg_Vastra_Gotaland_County_West_Coast.html#REVIEWS,http://www.restaurangkoka.se/,"European, Swedish, Scandinavian, Contemporary",623,45,45,45,45,128,29,17,1,2
Frantzén,Operakallaren,"Karl XII's Square, Stockholm 103 22 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189852-d698819-Reviews-Operakallaren-Stockholm.html#REVIEWS,http://operakallaren.se/,"European, Swedish, Scandinavian, International",709,45,45,45,45,238,52,16,7,6
Geranium,Geranium,"Per Henrik Lings Alle 4, 8., Copenhagen Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d1945657-Reviews-Geranium-Copenhagen_Zealand.html#REVIEWS,http://www.geranium.dk/,"European, Healthy, Scandinavian, Danish",1157,50,45,45,45,611,67,30,18,7
Ta Vie,Ta Vie,"74 Queen's Road Central, Central 2/F, The Pottinger, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d8353570-Reviews-Ta_Vie-Hong_Kong.html#REVIEWS,http://tavie.com.hk/,"French, Japanese",73,45,45,40,,42,11,7,0,3
Caprice,Caprice (Central),"6F, Four Seasons Hotel, Central Four Seasons Hotel Hong Kong, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d912108-Reviews-Caprice_Central-Hong_Kong.html#REVIEWS,http://www.fourseasons.com/hongkong/dining/restaurants/caprice/,"French, European",967,45,45,40,45,552,127,56,21,13
Sushi Shikon,Sushi Yoshitake,"7-8-13 Brown Place 9F, Ginza, Chuo 104-0061 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g14129573-d4418384-Reviews-Sushi_Yoshitake-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,http://sushi-yoshitake.com/index.html,"Japanese, Seafood, Sushi",169,50,50,40,45,98,4,3,2,2
T'ang Court,"T'ang Court - The Langham, Hong Kong","No.8 Peking Road Tsim Sha Tsui, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d1023200-Reviews-T_ang_Court_The_Langham_Hong_Kong-Hong_Kong.html#REVIEWS,http://www.langhamhotels.com/en/the-langham/hong-kong/dining/tang-court/,"Chinese, Asian",538,40,40,35,40,210,88,48,27,24
Robuchon au Dôme,Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html#REVIEWS,http://www.le-bernardin.com/,French,3594,45,45,40,45,2222,412,203,58,46
8 1/2 Otto e Mezzo - Bombana,8 1/2 Otto e Mezzo Bombana,"202 Alexandra, 18 House Chater Rd.Central, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d2423554-Reviews-8_1_2_Otto_e_Mezzo_Bombana-Hong_Kong.html#REVIEWS,http://www.ottoemezzobombana.com/,"Italian, European",564,45,45,40,40,273,110,48,17,9
The Eight,The Eight,"2/F, Grand Lisboa, Avenida e Lisboa Macau Peninsula, Macau China",https://www.tripadvisor.com/Restaurant_Review-g664891-d1217712-Reviews-The_Eight-Macau.html#REVIEWS,http://www.grandlisboahotel.com/dining-the_eight-en,"Chinese, Asian",0,45,45,40,45,147,61,26,8,7
L'Atelier de Joël Robuchon,L'Atelier De Joël Robuchon Saint-Germain,"5 rue Montalembert Hotel Pont Royal, 75007 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718134-Reviews-L_Atelier_De_Joel_Robuchon_Saint_Germain-Paris_Ile_de_France.html#REVIEWS,http://atelier-robuchon-saint-germain.com/,"French, European",2757,45,40,35,40,820,264,144,86,89
Jade Dragon,Jade Dragon,"Estrada do Istmo, Cotai Level 2, The Shops at The Boulevard, Macau 999078 China",https://www.tripadvisor.com/Restaurant_Review-g664891-d3340556-Reviews-Jade_Dragon-Macau.html#REVIEWS,http://www.cityofdreamsmacau.com/en/dine/chinese/jade-dragon,"Chinese, Asian",185,50,45,40,45,90,22,8,2,4
De Librije,De Librije,"Spinhuisplein 1, 8011 ZZ Zwolle The Netherlands",https://www.tripadvisor.com/Restaurant_Review-g188611-d748025-Reviews-De_Librije-Zwolle_Overijssel_Province.html#REVIEWS,http://www.librije.com/,"French, Dutch, European",691,50,50,45,45,169,11,3,6,1
Inter Scaldes,SaQuaNa,"22 Place Hamelin, 14600, Honfleur France",https://www.tripadvisor.com/Restaurant_Review-g187189-d797717-Reviews-SaQuaNa-Honfleur_Calvados_Basse_Normandie_Normandy.html#REVIEWS,https://www.alexandre-bourdas.com/,"French, European, Healthy",1064,45,45,45,45,108,16,9,3,5
JAN,JAN,"12 rue Lascaris, 06300 Nice France",https://www.tripadvisor.com/Restaurant_Review-g187234-d4975072-Reviews-JAN-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.restaurantjan.com/,"French, European",1673,50,50,45,45,753,65,25,7,6
Schwarzwaldstube,Restaurant Schwarzwaldstube,"Tonbachstrasse 237 Hotel Traube Tonbach, 72270, Baiersbronn, Baden-Wurttemberg Germany",https://www.tripadvisor.com/Restaurant_Review-g187279-d718344-Reviews-Restaurant_Schwarzwaldstube-Baiersbronn_Baden_Wurttemberg.html#REVIEWS,http://www.traube-tonbach.de/,"French, European, Central European, International, Contemporary",440,50,45,45,45,64,18,1,0,1
Restaurant Bareiss,Restaurant Schwarzwaldstube,"Tonbachstrasse 237 Hotel Traube Tonbach, 72270, Baiersbronn, Baden-Wurttemberg Germany",https://www.tripadvisor.com/Restaurant_Review-g187279-d718344-Reviews-Restaurant_Schwarzwaldstube-Baiersbronn_Baden_Wurttemberg.html#REVIEWS,http://www.traube-tonbach.de/,"French, European, Central European, International, Contemporary",440,50,45,45,45,64,18,1,0,1
Rutz,Rutz Restaurant - Weinbar,"Chausseestr. 8 Mitte, 10115 Berlin Germany",https://www.tripadvisor.com/Restaurant_Review-g187323-d718320-Reviews-Rutz_Restaurant_Weinbar-Berlin.html#REVIEWS,http://www.rutz-restaurant.de/,"German, European, Wine Bar, Central European",723,45,45,40,40,234,78,29,13,17
Waldhotel Sonnora,Waldhotel Sonnora Restaurant,"Auf'm Eichelfeld 1, 54518 Dreis, Rhineland-Palatinate Germany",https://www.tripadvisor.com/Restaurant_Review-g20304189-d1557845-Reviews-Waldhotel_Sonnora_Restaurant-Dreis_Rhineland_Palatinate.html#REVIEWS,http://www.hotel-sonnora.de/,"French, European, Central European, International",247,50,50,45,45,43,2,1,1,0
schanz. restaurant.,Restaurant Schanz,"Bahnhofstr. 8a, 54498 Piesport, Rhineland-Palatinate Germany",https://www.tripadvisor.com/Restaurant_Review-g319769-d2714940-Reviews-Restaurant_Schanz-Piesport_Rhineland_Palatinate.html#REVIEWS,http://www.schanz-restaurant.de/,"French, European, Central European",256,50,45,45,50,30,2,0,0,0
Victor's Fine Dining by christian bau,Victor's Fine Dining by Christian Bau,"Schlossstrasse 27-29, 66706 Nennig, Saarland Germany",https://www.tripadvisor.com/Restaurant_Review-g1185063-d2043640-Reviews-Victor_s_Fine_Dining_by_Christian_Bau-Nennig_Saarland.html#REVIEWS,http://www.victors-fine-dining.de/,European,273,50,45,45,45,48,4,7,0,4
The Table Kevin Fehling,The Table Kevin Fehling,"Shanghaiallee 15, 20457 Hamburg Germany",https://www.tripadvisor.com/Restaurant_Review-g187331-d8561371-Reviews-The_Table_Kevin_Fehling-Hamburg.html#REVIEWS,http://www.thetable-hamburg.de/,European,244,50,50,45,,32,2,2,2,1
L'Enclume,L'Enclume,"Cavendish Street, Cartmel, Grange-over-Sands LA11 6QA England",https://www.tripadvisor.com/Restaurant_Review-g499539-d800663-Reviews-L_Enclume-Cartmel_Grange_over_Sands_Lake_District_Cumbria_England.html#REVIEWS,http://www.lenclume.co.uk/,"European, British, Contemporary",3136,45,45,45,45,2556,318,155,53,43
Alain Ducasse at The Dorchester,Alain Ducasse at The Dorchester,"53 Park Lane Closest tube stations: Hyde Park Corner and Marble Arch, London W1K 1QA England",https://www.tripadvisor.com/Restaurant_Review-g186338-d1205756-Reviews-Alain_Ducasse_at_The_Dorchester-London_England.html#REVIEWS,https://www.dorchestercollection.com/london/the-dorchester/dining/alain-ducasse,"French, European, Contemporary",1763,45,45,40,45,1033,238,143,83,46
Hélène Darroze at The Connaught,Hélène Darroze at The Connaught,"16 Carlos Place Mayfair, London W1K 2AL England",https://www.tripadvisor.com/Restaurant_Review-g186338-d1237584-Reviews-Helene_Darroze_at_The_Connaught-London_England.html#REVIEWS,http://www.the-connaught.co.uk/mayfair-restaurants/helene-darroze/,French,1319,45,45,40,45,777,178,97,62,25
Fat Duck,The Fat Duck,"Opec House High Street, Bray on Thames SL6 2AQ England",https://www.tripadvisor.com/Restaurant_Review-g528798-d1571626-Reviews-The_Fat_Duck-Bray_on_Thames_Berkshire_England.html#REVIEWS,http://www.thefatduck.co.uk/,"European, British, Contemporary",2276,45,50,40,45,1763,214,91,65,57
CORE by Clare Smyth,Restaurant Gordon Ramsay,"68 Royal Hospital Road, London SW3 4HP England",https://www.tripadvisor.com/Restaurant_Review-g186338-d719242-Reviews-Restaurant_Gordon_Ramsay-London_England.html#REVIEWS,http://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,"French, European, British, Contemporary",3356,45,50,40,45,2185,317,151,60,41
Restaurant Gordon Ramsay,Restaurant Gordon Ramsay,"68 Royal Hospital Road, London SW3 4HP England",https://www.tripadvisor.com/Restaurant_Review-g186338-d719242-Reviews-Restaurant_Gordon_Ramsay-London_England.html#REVIEWS,http://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,"French, European, British, Contemporary",3356,45,50,40,45,2185,317,151,60,41
Waterside Inn,Waterside Inn,"The Waterside Ferry Road The Waterside, Bray on Thames SL6 2AT England",https://www.tripadvisor.com/Restaurant_Review-g528798-d752171-Reviews-Waterside_Inn-Bray_on_Thames_Berkshire_England.html#REVIEWS,http://www.waterside-inn.co.uk/,French,1860,45,50,40,45,1517,170,90,26,19
Boury,Vrijmoed,"Vlaanderenstraat 22, Ghent 9000 Belgium",https://www.tripadvisor.com/Restaurant_Review-g188666-d4014169-Reviews-Vrijmoed-Ghent_East_Flanders_Province.html#REVIEWS,http://vrijmoed.be/en/,"Belgian, European",619,45,45,45,40,111,23,13,4,0
Zilte,The Jane,"Paradeplein 1, Antwerp 2018 Belgium",https://www.tripadvisor.com/Restaurant_Review-g188636-d6463219-Reviews-The_Jane-Antwerp_Antwerp_Province.html#REVIEWS,http://www.thejaneantwerp.com/,"Belgian, Seafood, European",1664,45,45,45,45,270,46,17,10,5
Hof van Cleve,Hof van Cleve,"Riemegemstraat 1, Kruishoutem 9770 Belgium",https://www.tripadvisor.com/Restaurant_Review-g954018-d967590-Reviews-Hof_van_Cleve-Kruishoutem_East_Flanders_Province.html#REVIEWS,http://hofvancleve.com/,"Belgian, European",483,50,50,45,45,92,7,6,2,0
La Vague d'Or - Cheval Blanc St-Tropez,La Vague d'Or,"Plage de la Bouillabaisse Residence Pinede, 83990, Saint-Tropez France",https://www.tripadvisor.com/Restaurant_Review-g187242-d1153165-Reviews-La_Vague_d_Or-Saint_Tropez_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,https://www.chevalblanc.com/fr/la-vague-d-or-st-tropez/,"French, Mediterranean, European",473,50,50,45,50,91,10,4,1,3
Auberge du Vieux Puits,Auberge Du Vieux Puits,"5 avenue Saint Victor, 11360 Fontjoncouse France",https://www.tripadvisor.com/Restaurant_Review-g674102-d794269-Reviews-Auberge_Du_Vieux_Puits-Fontjoncouse_Aude_Occitanie.html#REVIEWS,http://www.aubergeduvieuxpuits.fr/,"French, European",1246,50,45,45,45,85,7,2,0,0
Restaurant Marcon,Hotel Restaurant Regis & Jacques Marcon,"Lieu Dit Larsiallas, 43290 Saint-Bonnet-le-Froid France",https://www.tripadvisor.com/Restaurant_Review-g950950-d967560-Reviews-Hotel_Restaurant_Regis_Jacques_Marcon-Saint_Bonnet_le_Froid_Haute_Loire_Auvergne_R.html#REVIEWS,http://www.regismarcon.fr/,"French, European",1167,50,50,45,45,42,1,0,0,0
Assiette Champenoise,PIC,"285 avenue Victor Hugo, 26001 Valence France",https://www.tripadvisor.com/Restaurant_Review-g187272-d719830-Reviews-PIC-Valence_Drome_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.anne-sophie-pic.com/,"French, European, Healthy",2694,50,50,45,45,147,19,9,4,3
Troisgros - Le Bois sans Feuilles,Troisgros,"728 route de Villerest, 42155 Ouches, Roanne France",https://www.tripadvisor.com/Restaurant_Review-g3845710-d12334831-Reviews-Troisgros-Ouches_Roanne_Loire_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.troisgros.com/,"French, European",258,45,50,45,,18,3,1,2,0
Le Clos des Sens,Restaurant Le Clos des Sens,"13 rue Jean Mermoz, 74940 Annecy-le-Vieux France",https://www.tripadvisor.com/Restaurant_Review-g1080922-d814341-Reviews-Restaurant_Le_Clos_des_Sens-Annecy_le_Vieux_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.closdessens.com/,"French, European",969,45,45,40,45,69,13,6,6,4
La Marine,la marine,"rue Marie-Lemonnier, Noirmoutier en l'Ile, Ile de Noirmoutier France",https://www.tripadvisor.com/Restaurant_Review-g425088-d942593-Reviews-La_marine-Noirmoutier_en_l_Ile_Ile_de_Noirmoutier_Vendee_Pays_de_la_Loire.html#REVIEWS,http://www.alexandrecouillon.com/,"French, European, Healthy",656,50,50,45,45,29,4,1,0,0
La Villa Madie,Le Vivier restaurant,"800 cours Fernande Peyre, 84800, L'Isle-sur-la-Sorgue France",https://www.tripadvisor.com/Restaurant_Review-g608811-d1754579-Reviews-Le_Vivier_restaurant-L_Isle_sur_la_Sorgue_Vaucluse_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.levivier-restaurant.com/,"French, European, Contemporary, Healthy",1839,45,45,45,45,228,42,13,8,3
Les Prés d'Eugénie - Michel Guérard,Les Pres d'Eugenie - Restaurant Michel Guérard,"334 rue Rene Vielle, 40320 Eugenie Les Bains France",https://www.tripadvisor.com/Restaurant_Review-g950951-d952147-Reviews-Les_Pres_d_Eugenie_Restaurant_Michel_Guerard-Eugenie_Les_Bains_Landes_Nouvelle_Aqu.html#REVIEWS,http://lespresdeugenie.com/,"French, European",616,50,45,45,45,61,5,4,2,2
Le Pré Catelan,Le Cinq,"31 Avenue George V Four Seasons Hôtel George V, 75008 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html#REVIEWS,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?seo=google_local_par2_emea,"French, European",2275,50,50,40,50,960,100,37,15,11
Le 1947 à Cheval Blanc,Le 1947 à Cheval Blanc,"Le Jardin Alpin Le Jardin Alpin, 73120, Courchevel France",https://www.tripadvisor.com/Restaurant_Review-g187262-d2440966-Reviews-Le_1947_a_Cheval_Blanc-Courchevel_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.chevalblanc.com/fr/maison/courchevel/restaurants-et-bars/le-1947-cheval-blanc-courchevel/?y_source=1_MTkzOTcyOTctNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"French, Contemporary",66,45,50,40,45,23,0,1,3,2
Épicure,Epicure,"112 Rue Du Faubourg Saint-Honore Le Bristol Paris, 75008 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719052-Reviews-Epicure-Paris_Ile_de_France.html#REVIEWS,http://www.lebristolparis.com/fr/gastronomie/epicure/,"French, European",2926,50,50,45,45,1106,94,33,10,4
Arpège,Eleven Madison Park,"11 Madison Ave, New York City, NY 10010-3643",https://www.tripadvisor.com/Restaurant_Review-g60763-d479020-Reviews-Eleven_Madison_Park-New_York_City_New_York.html#REVIEWS,http://www.elevenmadisonpark.com/,"American, European",2679,45,45,40,45,1583,280,196,83,76
L'Ambroisie,L'Ambroisie,"9 Place des Vosges, 75004 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718111-Reviews-L_Ambroisie-Paris_Ile_de_France.html#REVIEWS,http://www.ambroisie-paris.com/,"French, European",561,40,40,35,40,108,20,22,23,17
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Place du Casino, Hotel de Paris, Monte-Carlo 98000 Monaco",https://www.tripadvisor.com/Restaurant_Review-g190409-d691518-Reviews-Le_Louis_XV_Alain_Ducasse_a_l_Hotel_de_Paris-Monte_Carlo.html#REVIEWS,http://www.montecarlosbm.com/en/restaurant-monaco/louis-xv-alain-ducasse-hotel-de-paris,"French, Healthy",1029,45,45,40,45,329,47,32,13,12
Maison Lameloise,Maison Lameloise,"36 Place D Armes, 71150, Chagny France",https://www.tripadvisor.com/Restaurant_Review-g196538-d1082778-Reviews-Maison_Lameloise-Chagny_Saone_et_Loire_Bourgogne_Franche_Comte.html#REVIEWS,http://lameloise.fr/,"French, European, Healthy",1710,50,50,45,45,401,58,15,3,3
Le Cinq,Le Cinq,"31 Avenue George V Four Seasons Hôtel George V, 75008 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html#REVIEWS,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?seo=google_local_par2_emea,"French, European",2275,50,50,40,50,960,100,37,15,11
L'Oustau de Baumanière,"La Dame de Pic, Raffles Singapore","1 Beach Road, Raffles Singapore (Located at the Main Building, accessible via the main hotel entrance), Singapore 189673 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d17851324-Reviews-La_Dame_de_Pic_Raffles_Singapore-Singapore.html#REVIEWS,http://www.ladamedepic.com.sg/,"French, European",97,45,45,40,40,57,11,10,4,5
Pic,PIC,"285 avenue Victor Hugo, 26001 Valence France",https://www.tripadvisor.com/Restaurant_Review-g187272-d719830-Reviews-PIC-Valence_Drome_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.anne-sophie-pic.com/,"French, European, Healthy",2694,50,50,45,45,147,19,9,4,3
Plénitude - Cheval Blanc Paris,Cheval Blanc By Peter Knogl,"Blumenrain 8 Grand Hotel Les Trois Rois, Basel 4051 Switzerland",https://www.tripadvisor.com/Restaurant_Review-g188049-d939254-Reviews-Cheval_Blanc_By_Peter_Knogl-Basel.html#REVIEWS,https://www.chevalblancbasel.com/de,"French, European, Central European",544,50,50,45,45,183,20,6,1,0
Pierre Gagnaire,Pierre Gagnaire,"6 Rue Balzac, 75008 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719833-Reviews-Pierre_Gagnaire-Paris_Ile_de_France.html#REVIEWS,http://www.pierregagnaire.com/,"French, European",1031,45,45,40,45,222,42,17,8,13
Flocons de Sel,Flocons de Sel,"1775 Rte du Leutaz, 74120 Megeve France",https://www.tripadvisor.com/Restaurant_Review-g187266-d797263-Reviews-Flocons_de_Sel-Megeve_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.floconsdesel.com/fr/,"French, Healthy",1086,50,50,45,45,115,9,7,1,1
Alléno Paris au Pavillon Ledoyen,Le Pavillon de la Grande Cascade,"1 allee de Longchamp Bois de Boulogne, 75116 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718677-Reviews-Le_Pavillon_de_la_Grande_Cascade-Paris_Ile_de_France.html#REVIEWS,http://www.restaurantsparisiens.com/la-grande-cascade/,"French, European, Healthy",1100,45,45,40,45,119,38,6,4,5
Le Petit Nice,Le Petit Nice Passedat restaurant gastronomique,"17 rue des Braves Anse de Maldormé, 13007 Marseille France",https://www.tripadvisor.com/Restaurant_Review-g187253-d786471-Reviews-Le_Petit_Nice_Passedat_restaurant_gastronomique-Marseille_Bouches_du_Rhone_Provenc.html#REVIEWS,http://www.passedat.fr/,"French, Seafood, Mediterranean, European",1130,45,40,35,40,85,33,20,7,12
AM par Alexandre Mazzia,de Silveren Spiegel,"Kattengat 4-6, 1012 SZ Amsterdam The Netherlands",https://www.tripadvisor.com/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html#REVIEWS,http://www.desilverenspiegel.com/,"Dutch, European",1743,50,50,45,45,948,102,27,12,9
Georges Blanc,Bistrot L'Ancienne Auberge 1900,"Place du Marche, 01540 Vonnas France",https://www.tripadvisor.com/Restaurant_Review-g1026920-d1053282-Reviews-Bistrot_L_Ancienne_Auberge_1900-Vonnas_Ain_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.georgesblanc.com/,"French, European",1445,40,35,35,40,24,28,26,18,14
Amador,Alma By Juan Amador,"22 Scotts Road Goodwood Park Hotel Goodwood Park Hotel, Singapore 228221 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html#REVIEWS,http://alma.sg/#reservation,"European, Fusion",722,45,45,45,40,542,91,23,9,9
King's Joy,King's Joy,"No. 2 Wudaoying Hutong, Dongcheng District, Beijing 100027 China",https://www.tripadvisor.com/Restaurant_Review-g294212-d3330316-Reviews-King_s_Joy-Beijing.html#REVIEWS,https://www.facebook.com/kingsjoybeijing/,"Chinese, Asian, Healthy",1389,45,45,40,50,206,34,18,5,5
Taian Table,Sir Elly's Restaurant,"No 32 The Bund, 32 Zhongshan Dong Yi Road The Peninsula Shanghai, Shanghai 200002 China",https://www.tripadvisor.com/Restaurant_Review-g308272-d11954919-Reviews-Sir_Elly_s_Restaurant-Shanghai.html#REVIEWS,http://www.peninsula.com/en/shanghai/hotel-fine-dining/sir-ellys-restaurant,,80,45,45,40,,42,10,5,3,1
Ultraviolet by Paul Pairet,Mr & Mrs Bund - Seafood & Steak House by Paul Pairet,"No.18 Zhongshan East 1st Road, Huangpu District 6th Floor, Shanghai 200002 China",https://www.tripadvisor.com/Restaurant_Review-g308272-d1550812-Reviews-Mr_Mrs_Bund_Seafood_Steak_House_by_Paul_Pairet-Shanghai.html#REVIEWS,http://mmbund.com/,"French, European, International",2002,45,45,40,45,870,360,149,59,36
Lasarte,Martin Berasategui,"Calle de Loidi, 4, 20160 Lasarte-Oria Spain",https://www.tripadvisor.com/Restaurant_Review-g1078423-d948529-Reviews-Martin_Berasategui-Lasarte_Oria_Province_of_Guipuzcoa_Basque_Country.html#REVIEWS,http://www.martinberasategui.com/,"European, Spanish",1922,50,50,45,45,622,49,13,5,5
ABaC,ABaC,"Avinguda Tibidabo, 1, 08022 Barcelona Spain",https://www.tripadvisor.com/Restaurant_Review-g187497-d1074448-Reviews-ABaC-Barcelona_Catalonia.html#REVIEWS,http://abacrestaurant.com/,"Catalan, International",2308,45,45,40,45,410,101,69,48,46
Cocina Hermanos Torres,Disfrutar,"Calle Villarroel, 163, 08036 Barcelona Spain",https://www.tripadvisor.com/Restaurant_Review-g187497-d7281314-Reviews-Disfrutar-Barcelona_Catalonia.html#REVIEWS,http://www.disfrutarbarcelona.com/,"Mediterranean, Contemporary",2002,50,50,45,45,485,50,17,3,4
Akelaŕe,Akelarre,"Padre Orcolaga, 56, 20008 San Sebastian - Donostia Spain",https://www.tripadvisor.com/Restaurant_Review-g187457-d945611-Reviews-Akelarre-San_Sebastian_Donostia_Province_of_Guipuzcoa_Basque_Country.html#REVIEWS,http://www.akelarre.net/,"International, European, Contemporary, Mediterranean, Spanish",1853,45,45,40,45,491,108,80,52,47
