name,rating,title,review
14 Wall Street,10,Grilled Fish Rip-off!,"We will NEVER come back to this restaurant again!  The fish was mediocre and ordinary, it was swimming in butter and what was worse was we told them VERY CLEARLY that we only wanted ONE ORDER (140,000 dong) of the only item in their menu (we just had a banh mi snack 1 hr prior to dinner because the restaurant was still closed).    As mentioned, the signature & only dish was just okay, definitely NOT exceptional. AND THE BIG UNPLEASANT SURPRISE WAS OUR BILL WAS FOR 2 ORDERS! They insisted that the fish in the pan was for 2 ORDERS, but truly, the portions were so tiny that we would’ve been famished if we didn’t have the banh mi beforehand.    We have climbed other second-floor restaurants in Hanoi, but this one is definitely a hazard to old and young customers alike! The stairs were steep, the lights were dim the steps were barely enough for one’s shoes and the stairs were at a 25-degree angle- and barely 24 inches wide! I’m not exaggerating, but I was scared I would fall  and hurt myself!    So, with the awful climb upstairs and the mediocre fish, that’s the last time we will visit this restaurant! 😤😤😤👎👎👎    M DUNCAN"

14 Wall Street,10,not worth,"for an signatur dish this was very disappointing. the idea behind the dish is great but, for me as an chef, the reality looks very poor."

14 Wall Street,40,The original cha ca,"It is the original cha ca,located at no 14, cha ca street,the street name after the dish.but beware of another cha ca la vong,it used no 14 too,but different place.the original one dont use 14 cha ca as sign,so if you see the shop sign like 14 cha ca or something,then it is another one.anyway,the original one is not very luxury look,it is very normal place.so you may miss it.they sell one dish only,that is cha ca the grill fish.it is a traditional northern vietnam food,you hardly find it in the south.the price for one person is VND170,000,(cannot share),not cheap.the marinated fish in hot pan will arrive at the table, alongside a basket of think vermicelli, fresh herbs, roasted peanuts, chili.it may oily,but the taste is good,and the portion not big,so make it a bit expensive. service is nothing special to say,but ok,the staff or owner wont ignore you,due to language barrier,they dont speak much,instead,they will do everything for you,so order is not a problem.if you are the first time in Hanoi,this place still worth a visit,at least try once."

14 Wall Street,30,Tasty and interesting experience,"Full of locals which is always a good sign, the food was tasty and the novelty of cooking the fish and herbs yourself on a burner is fun.    However, this restaurant is really aimed at locals and takes tourists for a bit of a ride. Although not expensive by Western standards, it becomes very apparent that they’re charging you 3-4 times what they’re charging the locals for what felt like an overly small portion.    While it seems somewhat petty to complain over 6K VND (25 cents), they added this to the bill for wet wipes that they gave us without asking. Knowing that they’d already charged ya a lot more than locals this felt galling.    Finally, although the food came very quickly service was otherwise non existent - the English speaking member of staff did nothing to be proactive and only explained the meal and process after we had flagged him down and asked several times."

14 Wall Street,40,One of the best specialty in Hanoi but I like the food cooked by coal before,"I have spent my time for meal in this restaurant now and then. It is the oldest restaurant in Hanoi (more than 130 years old). In my humble opinion, I prefer the old style of this restaurant when they cooked the grilled fish by coal. Nowadays, they have used glue instead of coal for fire. It's more convenient than before; however, I figure that it is not enough heat for grilling first and onion. The price is not cheap."

14 Wall Street,40,"Not Fancy, not the best attention but its good","We've been in this restaurant several times and all the reviews you can read are true. The attention is not good, it is not fancy at all (the room where you eat is like a cantine but the Cha ca is much better than in other restaurants much better noted in tripadvisor. So yes, we like it"

14 Wall Street,10,Never ever coming back,Food is over rated. Expensive. Not value for money. Totally no service at all. We don't owe them a living. They forgot.

14 Wall Street,30,Expensive and just ok,"The fish was nice enough, but really nothing to get excited about. They were so busy, we felt quite ignored. It was confusing as westerners to establish exactly what we had purchased. For 3 people and 3 beers, over 750.000.a nice local experience but be prepared for the $$$"

14 Wall Street,10,Maybe a traditional restaurant but the place is a rip-off!,"My wife and me are just back from this place which we innocently tried out! We were astonished of no explanations or menu and only one dish served, which is a marinated fish with cold noodles and some fresh herbs. Really nothing special and as many say here say much too greasy. Ok, service was also very bad and we thought maybe no English knowledges. But when the bill came I nearly fell from the chair -170.000 per person! Only because the dish was famous 100 years ago. We eat in other places a rich and good seafood barbecue for 100.000!  Once we opened the door of our hotel room my wife started vomiting!  Please, never ever go there and make a big curve around this scam place."

14 Wall Street,50,delicious Cha Ca,"This is the oldest Cha Ca restaurant on Cha Ca street, and maybe Hanoi! It is a bit pricey at 150,000 but is well worth the money! The server cooks the catfish in turmeric and dill at your table! It is such a wonderful experience for all the senses!"

14 Wall Street,10,Overly priced for bad,"Only one dish in this restaurant and it cost 170,000VND per person! The portion was so small it can’t fill any stomach. And there’s a lot of locals there. We suspect local and tourist are priced differently! Horrible service as well. Avoid at all cost ! .. the taste and the price doesn’t match! The photo below is portion for 2."

14 Wall Street,40,Beware of decoy Cha Ca restaurant on same street!,"This is my first time writing a review but felt compelled to do so. I had wanted to try this famous restaurant which only serves one dish ""cha Ca"" - a fried tumeric marinated dish. It is so good that the restaurant only serves this one dish and nothing else! I tracked this down with google maps but it lead me to a restaurant pertaining to be this restaurant on the same street. It had brash signs and neon flashes proclaiming it to be number 1 for cha ca. we sat down and ordered only this dish, but it was awful. We left disappointed but was slightly suspicious that for a famous restaurant it was empty. We walked a few yards further and on the same street on the opposite side we stumbled on the original Cha Ca La Vong establised 1871 at number 14. It looked really inconspicuous and sure enough the only dish they served was Cha Ca. The difference was remarkable, the dish was fresh, had a distinctive flavour and was quite pleasant. The decoy restaurant had the audacity to charge more for this dish! Their business model is clearly to capitalise on the reputation from the other establishment as they blatant flash no 14 signs and stating they are 'no 1 for Cha ca' it doesnt even make any sense they use the number 14 when they are not at number 14! To tell the difference, the real restaurant has a stairway as you come in on the left leading up to the two floors of dining space whereas the decoy restaurant is one floor and have pictures of other dishes they served. The real restaurant only serves one dish!! We only tried the Cha Ca in both but the real one tasted so much better. No wonder the decoy which empty!! The audacity of the cowboys to charge a higher price for the Cha Ca. Also they cook the dish on an induction heater whereas the original use a gas burner. There are some disappointed reviews on this restaurant at number 14, clearly at the wrong restauant with induction heaters!! Oh well, i give them credit for their audacity but felt compelled to write this review as it is not right!"

14 Wall Street,20,Trading on its reputation,"Like many I came here on a food critics recommendation.it may once have been good but now it’s mostly indifferent.service is surly and unhelpful ( in huge contrast to almost everywhere else in Hanoi) surprise surprise the ‘free’ beer isn’t,and it was warm as well. Grilled fish isn’t,it is served in chunks in a ladleful of cheap oil in a pan with some raggedy dill stalks and a mound of rice noodles ( of course,noodles are cheap)and some indifferent sauces.i had to ask twice for chilli and limes (normal on all Vietnamese tables) and was distinctly unimpressed with the offering.ifyou’d nevereaten In Vietnam you might enjoy it,but when you have you will know it’s massively overpriced and not that great.significantly there were no Vietnamese eating there at all- why would they?step outside you can pay half the price,get cold beer and eat far better.please,do not give your hard earned money to this joint,there are plenty more places who work far harder and cook much better."

14 Wall Street,50,Delicious goodness,"Fresh herbs, great combination with fried fish, fish sauce, crunchy peanut, soft and delicious rice noodle!"

14 Wall Street,30,"Serves one dish. And it's good. Everything else is crummy in this old, rickety restaurant. Bad service. But i love it.","Serves one dish. And it's good. Everything else is crummy in this old, rickety restaurant. Bad service. But i love it."

14 Wall Street,10,Terrible,"I'd read so many recommendations about this place that I didn't check it out on TripAdvisor. What a mistake. Indifferent service, bland, dull overpriced food. Advertisement at the front offers free beer (which should have been a clue as to the quality) but we were charged for both ou warm beers and even when challenged. Please, don't go."

14 Wall Street,30,Old traditional house serving cha ca,"My favourite dish is cha ca and I heard lots about this century old shop, La Vong at 14 Cha Ca Street, i saw many other post of la cong and they are many fakes.    Though simple dish, but it's flavourful and I simple love it with noodles. There isn't service here since they only have a couple serving. Serving portion compared to others are smaller, lesser greenies.    Well at least I tried, I still prefer the one at duong thang. Give it a try if u happen to be near by and climb that super steep steps up to level 2. Distinct feature is that cyan blue wall!"

14 Wall Street,40,aka Cha Ca La Vong,"As at many specialty restaurants in Hanoi, they ONLY do ONE dish, and they do it well. No menus, just sauteed fish in turmeric, vermicelli noodles and herbs. Wait staff will confirm the number of diners, and then the food is delivered. Finish cooking at your table and devour. Good solid meal. Note the stairs to the second floor dining room are steep."

14 Wall Street,10,MOST TERRIBLE DINING EXPERIENCE EVER: bad fish and Food Poisioning,"NUMBER ONE GRILLED FISH at 14 Cha Ca Hanoi was the worst experience that i have ever experienced at any restaurant . We ordered the ""Grilled Fish"" which turned about to be fried, not grilled, greasy meat. The restaurant owners cheated us by charging high prices for Grilled Fish when they did not serve grilled fish. We got food poisoning from dining here. In the USA or Canada this restaurant would be most certainly shut down for health reasons. Going to this restaurant was the most terrible dining experience that I have ever experienced."

14 Wall Street,30,Once an iconic restaurant for Cha Ca,"Once 'the' place for Cha Ca, but I won't be visiting here again. Too many good Cha Ca restaurants with better food, quality, access and most of all, service."

14 Wall Street,10,Tourist trap!,"We visited this restaurant as it was the first to start Cha Ca, but boy were we disappointed. I went there with my boyfriend and wanted a light snack. The boss tried to push us to get the set for 2 which would come up to 400k for 2 person. I chose to go with the 100k for the fish and some fish cake (for 30k according to the menu). They delivered the 2 dishes, and pops both into the frying pan after pointing to the menu indicating what it was. What I didn’t realize was that each fish cake was 30k and he brought us 12 fish cakes! We didn’t finish it. Taste wise it was oily beyond believe! Price wise... be prepared to be fleeced! We paid 490k in total for absolutely rubbish."

14 Wall Street,10,Uninspiring and overpriced,"Supposed to be a complete gem, we had not looked on here, rather read guidebooks, and I can confirm it is as poor as others have said. It was more expensive than I have paid for any meal in Vietnam, small portion, uninspiring and yes the beer that looked to be ‘free’ wasn’t. As well as that it was warm! Can’t see any reason to come here at all folks"

14 Wall Street,10,Run away now,"Bad and rude service. Tasteless mulch of unidentifiable fish parts cooked by man picking nose and served with old limp bunch of herbs. Run now, don’t walk away - run."

14 Wall Street,10,"Tasty fish, terrible service","We went here since it was the first to develop Cha Ca. The servers were nasty, ignored us, never brought us our drinks or napkins. The waiter dropped a card on the table that said (we serve on dish—170VD). There are better places for Cha Ca and definitely places with nicer service."

14 Wall Street,10,Good taste and bad taste,"Good taste - still consistent in terms of taste, cucumin flavoured fish  Bad taste - overpriced - 170k VND for one person, no service, too little fish (if I really want to filled my dinner stomach I probably spend 1M VND)!    P.S. I went to the original one...they rely on their long history of reputation but this place is losing its shine, what a shame."

14 Wall Street,20,Chả Cá Lã Vọng,It doesn’t taste good like it used to. Also the service is too bad. I sure will never come back here.

14 Wall Street,10,ひどい客対応 Horrible Cust Service,"詳しい人におすすめしないよ、と言われても元祖ということで入ってみましたが、ガッカリを超える腹立たしい対応でした。 うちは魚のグリルを170kドンで出すだけだというカードを投げつけられ、ブンは切らずにどんと出される。ピーナッツを出してこない。ハーブは自分で入れろとまるで看守に命令されるように顎と箸で指示される。火の調整など一切なく野菜は焦げる。その上、後から来たグループ用の取り皿を僕のテーブルで仕分け始める。 たべてる最中に、コンロを下げる。という劣悪な対応にガンと文句を言って出てきた！ 文句をいう地元民も外国人はいないのであろうか？ ぺこぺこお辞儀をし始めたがこのふざけた対応に断固抗議した。    チャーカータンロンに行くべき！ 魚の量も不満なく、ブンはチョキチョキ切ってくれ、一皿目はよそってくれるので、わかりやすい。    Go Cha Ca Than Long, where better food and services are provided at competitive price.    This joint did nearly insulting service by directing me what to do by pointing their chin with no words. No bun cutting prior to cooking then they reluctantly cut the bun with a pair of scissors upon realizing that the bun was like a canon ball."

14 Wall Street,50,"one and only dish, and it is fantastic","read about the place. We went up the stairs, sat down, a card told us it was fixed price, we ordered a beer and enjoyed the best fish meal in Old Hanoi. Turmeric fish, with vermicelli and greens and cook it at your table. Loved it."

14 Wall Street,50,This place is more commonly known as Cha Ca La Vong,"And it’s the original. Housed in an old and original family home. Downstairs is the altar room and family room, up stairs (they’re steep, be careful) is the small communal dining room. Fish grilled right at your plate is the main item on the menu, and there are not many other items on the menu, yiunpointnat the picture on the menu,mit arrives as your table shortly after.mit’s yummy and worth the trip.    Tables are communal, mostly, but you can dine solo if you go off hours. Servers not really geared to English clientele ... they’re not surly, exactly, just focused on trying to execute their job with customers who they cannot understand."

14 Wall Street,10,tourist rip-off - overpriced and unpleasant experience,"we were tempted to try the grilled fish - which proved to be not good value for money, the serving for three would have been enough for only two, rather careless slammed on the table in front of us. taste was okay but nothing special. definitely not worth 200.000 dong!    the bad surprise came when we wanted to pay and found out that the ""free beer"" which was advertised to accompany the grilled fish was NOT included. we pointed out that it is fraud to use a blatant to lure customers in - the very unfriendly bully of owner could not have cared less and even shouted at us. the first time we were ripped off in such a manner after months of travelling in vietnam. :-(  NEVER AGAIN!!"

14 Wall Street,20,"Average food, terrible service","The food here is average, a lot of oil and not much fish. The service is whats killing this place, they completely ignore you and even charge for napkins... maybe just 1 star.."

14 Wall Street,20,avoid,"I don't need 100 characters to tell you my opinion of this place . 4 characters are enough : AVOID .  We were tempted to eat here by by a television ""Foudie"" show . Big mistake : Poor food , poor service , poor environment . Don't !!!"

14 Wall Street,40,Tasty - Historic - Way Overpriced,"To start with, this is an ""experience"" restaurant. It's not the most delicious or the best price. In fact, it's way overpriced!! I'd heard that the service was really poor but I didn't find it to be poor - just not friendly. So, if you're looking for a western-style meal with western-style service, this isn't the place for you. But, if you're looking to taste a part of Vietnamese history, experience a little culture and spend USD 7.30 (yup, that's still overpriced), stop on by.    Apparently, this is the oldest restaurant in Hanoi of this style - this grilled fish thing. It dates back to the French colonial days (which, frankly ended in the 1950s so it's not necessarily old in the scheme of Vietnam.) The legend goes that the restaurant owners sheltered Vietnamese nationalist freedom fighters who were fighting the French and therefore has an enduring bond with the current government and military.    Either way, you go through what feels like someone's living room up a tiny narrow and steep set of stairs to a rather unremarkable dining room. If you aren't Vietnamese, someone will put a little card on your table telling you that there is only one option and that the price is (currently) 170,000 VTD - drinks not included. If you continue to sit, they will just start putting things in front of you - without speaking. They bring out the fish which is already mostly cooked and then show you how to add vegetables and sort of finish the dish at your table. I thought it was very good but it really wasn't a lot of fish - mostly noodle - but that's local custom.    All in all, I found this to be an interesting experience."

14 Wall Street,10,Worst ever fish,"This restaurant was recommended from my Airbnb host quoted as ""must try before you die"" fish. Scammed!    You were told there's only one dish in the restaurant and I was thinking you better be a killing dish for this price. We were served with a pan full of boiling oil and the staff dump some pre-cook fish small fillet in with spring onion and dill. First the fish is small, second it is not fresh, third it was instantly over cooked under the fierceful fire under the pan.    The service was bad, room was very hot, and it is very expensive for what you get. Any one can cook a better fish than this."

14 Wall Street,30,First try ever,"The dish of fish is so savory and fresh; its taste is quite special maybe because of the herbs. My family and I have tried it for the very first time and we loved it. However, its price is too high and the service is quite bad :(  We hope it would be better in the next time if we could go back again :)"

14 Wall Street,50,The best fish ever!,"I haven't been a huge fan of fish since forever. I went on a 9 day trip to Vietnam alone, and I enjoyed every bit of it. My main aim is food, when I travel. Had all sorts of meats the first 8 days of my trip and did not touch fish. I did a lot of research and fund out that this dish must be tried. Not sure why but it just so happened that I saved this for the last day. I entered and saw mostly locals, which means it must be good, I thought. The owner served me herself because she saw I was alone. she explained the dish to me and slowly one by one plates/bowls started filing up my table! I thought to myself that oh man, thats alot of food for one person. Ideally the rice noodles and dill is shared, atleast for 2. But one is started I didn't stop.....the fish was perfectly cooked and flavors well balanced. All my bowls where EMPTY. Thats how good it was. Must try."

14 Wall Street,10,Tourist Trap,"Don't waste your time, energy and money checking out this restaurant (even though it's the original one). It is a scam! The serving was a very small portion of thin and tiny cut pieces of fish and some vegetables and noodles at 170,000 vnd per person. We left the restaurant hungry and determined to share our lousy experience with fellow travellers."

14 Wall Street,10,it is a scam,do not go to the store one with big yellow sign and big number 14. we got scamed at this one 400000 for 2people. very little fish. the owner （probably a gang member）strongly recommend us to order fish cake （30000 per piece）we said one but they give us 12 piece. we thought one piece might mean one dish. but it is not. when we ask for the bill they charged us 30000x12 plus 400000 whice is very over priced. we did not even finish the cake. we try to reason with the owner. finally they agreed to give us a cheapper price. when we got home we checked online. there is plenty of other scam in vietnam. strongly not recommend you to go to vietnam. very bad experience here.

14 Wall Street,20,Stay away!,"We went to this place on recommendation of our tour guide. My bad for not checking the reviews on TripAdvisor. The food is OK, nothing special IMO, they gave us one small pot with about 15 small pieces of fish for 3 person, noodles, some greens and small sauce plates. Might pass as an appetizer for 3. It came to 550k with a couple of beers. You can order double or triple portion if are hungry, but 170k each it will cost you."

14 Wall Street,10,Very BAAAAAAAAAAD!,This place was recommended to us on our hotel map. Just be very very careful Casie there is 2 places with the same name and the same number address! It is a massive scam as we clearly got the world place. They make you get a set menu thing for 2 but also get these fish cake things and nothing was great at all and then they charge something astronomical for Vietnamese pricing. It’s toatlly not worth it when you can get great cheap fresh food in every other restaurant! DO NOT GO HERE!!!!

A,50,AMAZING HODDEN GEM IN NYC,"AMAZING! The BEST steaks we've ever had! We were visiting from Calgary,AB aka Canadian Beef Country* Tucked away from the tourist trap of Times Square...we walked from our hotel-Park Central on 57th....we originally went with a Groupon to try it out...it is our top pick...More"

A,50,"Beautiful restaurant, very good food and attentive staff and owner.",We had a great opportunity to dine at this family restaurant. It is easy to understand how they have been successful for forty five years. The staff and owner were exceptional and made us feel truly cherished as customers.

A,50,The best steakhouse in NYC!,The Steak was absolutely amazing and so were the sides! definitely the best steakhouse in nyc. the staff was very friendly. We can definitely recommend this place.

A,50,Amazing,"My family really enjoyed the overall experience. All courses were delicious, especially the steaks and desserts. Loved the live music and welcoming atmosphere. Entire staff was friendly, hard-working, and attentive to customers. Can't wait to come back!"

A,40,Lovely restaurant with delicious food and pleasant atmosphere,Lovely restaurant. Calm and pleasant atmosphere. Great and pleasant host. Lovely food that lived up to expectations.

A,40,A Classic New York Steakhouse Experience,"Club A Steakhouse is an excellent choice for a special occasion meal or a night out with friends or family. The food is delicious, the service is impeccable, and the atmosphere is simply unforgettable."

A,50,Wow!!,Wow!! Service was excellent! Food was excellent! Staff were amazing! Ambiance was excellent! But be aware this place is very pricey. But still would go back.

A,50,Excellent experience,"Food was absolutely amazing. The service was warm and friendly. Staff absolutely listened and understood and created a great experience for our family, celebrating two birthdays. Will absolutely be back. Felt like family!"

A,50,"Delicious food and wine, great service",It was a pleasure to visit the restaurant. Very delicious food and wine. The service was great. We would definitely recommend others to visit the restaurant.

A,50,Top Notch Steakhouse off the Tourist-Track,"Fantastic quality food and a great atmosphere, with some of the best service that I have ever experienced. Definitely worth a visit."

A,40,Classic New York steakhouse,"Club A Steakhouse is a great option for a special occasion or a romantic dinner. The food is excellent, the service is top-notch, and the atmosphere is elegant and sophisticated."

A,50,Amazing food and staff!,On our trip to New York I really wanted to visit a steak restaurant - I saw that this was rated number 1 on TripAdvisor so I decided to book. I went with my partner and 8 year old daughter and we were treated so...More

A,50,Club a steakhouse dinner food,"We came for dinner. The tables are very beautiful. The employees are very concerned, their meat is very good and the portions are very satisfying. I recommend rib eye meat for you. The owner was a very kind and caring gentleman, thank you for everything."

A,50,The best place...,The best place I have been to in the last couple of years! Food is amazing! Staff is absoluetly extraordinary!

A,50,Excellent Burgers,Many folks go for the steak. I a piece as the wife had a steak. I got a burger which was very awesome. The staff were great and super warm and welcoming. Definitely will be visiting again.

A,50,Another Perfect Dinner,"Another wonderful dinner at Club A. The steak was cooked perfectly, was tender, and certainly delicious. Service was impeccable. This is our go to steakhouse in NYC. Cannot more highly recommend it!"

A,50,Highly recommend deserves 5 stars,I was taken here by my wife and friends a few years ago for a birthday weekend and it is still the most memorable dinner I had in the city. Everything was perfect and I still dream about the tiramisu!

A,50,Superb dinner,"Went whilst in NY from uk for our 25th wedding anniversary, absolutely fantastic service, food was awesome and plentiful, complimentary dessert was a surprise and very welcome. Highly recommend this place and if in NY again, we will be back"

A,50,5* meal and amazing service,Wow 🤩 from the minute we arrived from the moment we left the service is amazing. The owner who has owns it even greets you!. The steak is the best I have ever tasted!! This meal was just out of this world.

A,50,Perfect for a special occasion!,Fantastic food and really great service. Perfect for a special occasion! We had 2 times 6 oysters as a starter. Fresh and delicious! The New York strip steak (16oz) was extremely tasty! We also got complimentary mushroom pasta and cakes. Highly recommended!

Aix,50,One of the best restaurants ever!,"We enjoyed an amazing meal beginning with an amuse bouche, starter, main entré and a desert. Each course was amazing. Definitely one of the best restaurants I’ve ever enjoyed."

Aix,50,On repeat….,"We met friends for dinner. Our meals were amazing. Wine was paired perfectly. Loved it so much we went back two days later. It didn’t disappoint. Between us, over two nights we tried the entire menu. Best dining experience in Aix. It’s a must. The tastings offered before the entree are a sensation and create a welcoming atmosphere. Loved the staff."

Aix,50,Excellent restaurant make sure you make a reservation.,"Be sure to make a reservation if you want to sit outside; seating outside is extremely limited and while the inside seemed nice enough, you will want to sit outside as the people watching and ambiance of the pedestrian-only street makes eating here super worthwhile. Loved the food. One thing to note, very likely you may have to slow down your server, as they clearly wanted the outdoor seats back as soon as they could, and, of course, all you will want to do is sit back and enjoy the meal and the ambiance. Favorite meal in Aix."

Aix,50,Excellent Experience,Great service...we ate inside even though it was a nice night. Recommended a wine...excellent Pace of dinner - great Overall our favorite dinner in AIX

Aix,50,"Excellent restaurant, great food",Family of 5 adults and one baby had dinner here. All had €58 set menu. Excellent food. Amuse-bouche were lovely. Tuna ceviche excellent. In fact all food excellent. Service friendly. Highly recommended

Aix,50,Memorably Good,Excellent. Service was somewhat aloof; food was excellent. The lovely evening was very slightly diminished by the American girls seated next to us; trying to experience this dining through live streaming and dueling selfies. I suspect their parents were nearby ruining dinner for someone else at a restaurant nearby.

Aix,50,Perfection!,"We tried Mitch out while walking around Aix and so glad we did. We returned on our last night and were greeted like old friends. The food is exquisit. The menu is limited, but this is more than compensated for the incredible taste, colour and quality of the food. The staff are professional, but warm and friendly. Looking forward to returning!"

Aix,50,My new favorite restaurant in the south of France!!,"For three weeks my husband and I traveled throughout the south of france. And in that time, we had (without exception) excellent meals everywhere.    However, our dinner took excellence to a whole new level. Far and away, this was probably one of the best dining experiences I've had anywhere in the world.    The atmosphere of the restaurant is wonderfully charming, which simple white walls and comfortable white chairs. We were fortunate enough to secure one of the 4-5 outdoor tables, which was outstanding as the restaurant is on a corner with plenty of foot traffic for people watching and a lovely square with a fountain right across the street.    The service was perfection! Our hostess was also our waitress and she was friendly, attentive, helpful, and knowledgable...everything one could want in a professional and more. She was always available, explained what each course was and made sure that our every need was met.    We had the tasting menu, which at 58€/pp was an outstanding value. The menu clearly shows the chef's creativity and there were multiple items at each course. My husband and I intentionally ordered different items at each course to view and taste all of the possibilities.    And the food is clearly the star of this show, and it doesn't disappoint. I don't know how but each course outdid the proceeding course. Every course was beautifully presented and perfectly season/prepared with the most amazing balance of textures, flavors and smells ever.    I can't wait to go back and know that the meal I have then will be perfection again!! Thank you!!"

Aix,40,Didn't live up to our expectations,"I'm a bit baffled by all the raving reviews. The food was good but definitely not great. It was good enough, which is not enough for France.  My friend and I had fish as the main course, The cod was very good but the bream was not to our liking. It was tough and tasted fishy. I don't know if that was that particular bream or bream in general, but we stayed away from bream the rest of our trip because of our experience. The rest of our meals were fine but not great.  On a positive side, the restaurant is located in a very nice spot and sitting outside was a pleasure."

Aix,50,Beyond exceptional,"We had booked another restaurant and were informed that they were closed on Sundays. I called Mitch and booked a table without issue (glad I did, as they were turning people away while we were there). As others have said Mitch is outstanding in every way: the food, presentation and service were top notch and we couldn't recommend it more highly!  We opted for the Prix Fixe menu. After a selection of amuse bouche we started with the Chicken Broth with Foie Gras and Pan Fried Octopus. Entrees of a perfectly cooked piece of beef and Sous Vide chicken were outstanding as were the desserts of a deconstructed lemon meringue tart and ripe strawberries with a vanilla and verbena cream. The food is amazing and the service equally so.  We had such a fantastic meal here and can't say enough about it! HIGHLY RECOMMENDED!"

Aix,50,Exceptional!!,"Exceptional! After eating here on night 2 of our trip we only wanted to return. Luckily there was a cancellation and we were able to come back. Service was impeccable, ambience terrific and the food is of the highest quality and creativity. Thank you for a special experience during our stay!"

Aix,50,"Fantastic food, friendly staff in a fun, characterful ‘place’ in Aix","Probably our best meals in Aix, we went twice - the second time with friends who loved it as we did. Book early if you fancy going as we had to…and we saw lots of people turned away who arrived on the nights we were there.    Food was an innovative and tasty twist on meat, fish & veggie dishes. Tender beef, fantastic sea-bream & sardine, and some of the best strawberries we had in France.    Good selection of wines including some nice local ones like Richaume Cuvee Tradition rouge at a sensible price.    Book now, you won’t regret it!"

Aix,50,Best in Aix,"The best, and most relaxing meals I've had during this two-week stay in France. Absolutely my favorite dining experience in Aix-en-Provence. This is Michelin star quality food in an easy and relaxed atmosphere, presented without any pretension at very reasonable prices. It's the kind of place that invites you to sit and linger over your food. Enjoy."

Aix,50,Delicious!,"Delicious! We ate in the lower level with the view of a 500-year old well. The set and a la carte manus are very/too similar; bu thankfully what we ate was delicious. No disappointment (except olives were not mentioned as a key ingredient in the English version of the menu). Nice local wines. And, super staff."

Aix,50,Wonderful clever cooking and a lovely ambience,"We met a lovely couple at another restaurant a few days before who told us we had to go to Mitch. We are so glad we did! The tasting menu was fabulous and great value for such fabulous ingredients and expert cooking. The asparagus starter, our beef fillet main and rhubarb dessert all had real stand out touches. Service here is personal and exceptional and just a great balance of formal/informal that few restaurants do well. My husband was a food reviewer for many years and felt that this was one of the best meals we'd had in a very long time."

Aix,50,Best choice in Aix en Provence. Perfect dinner with perfect atmosphere,The best restaurant we ate in Provence during our 12 days there (including star Michelin we were). The kitchen is creative and the harmony of tastes are perfect. Wide enough choice for everybody. Every dish made us say Wow! Mitch is very attentive and explains on every dish also on English. Decent variety of wines with fair prices. The meal is also fair priced.

Alain Ducasse,50,Magical,"Everything about our experience was top class. From the moment we arrived, the service was impeccable. Our sommelier was the best I've ever met. The wine choices were unique and interesting. The food was inventive, exquisite and of course, delicious. The tasting menu had such variety that each course was a wonderful surprise. I can't thank everyone enough for making our visit so magical."

Alain Ducasse,50,Worth the rating,"It was a true Michelin 3 experience. Incredibly comfortable and inviting. The staff was warm, personable and very engaging. Absolutely no complaints."

Alain Ducasse,50,It Was Far More Than Dinner - It Was A Once In A Lifetime Experience!!!,"This was the greatest dining experience I’ve ever had. The atmosphere, service and food were absolutely fantastic. I was their for a birthday celebration and the Staff went far out of their way to make it a very special evening. We had the wine pairing with 7 course tasting menu and it was spectacular."

Alain Ducasse,50,Nice :),Nicly done. Testing manu perfect with wone dinning - everybody should try this experience. We try this restaurant several times - always good :)

